Sentence,Emotion
뭔가 야간이라 좀 위험할것 같은데..,공포
부디 단물에 나비나 꽃등에 같은 좋은 벌레?,놀람
그립습니다 김재규장군님 님의 의거 오늘도 가슴속에 간직하고 살아가렵니다.,슬픔
정말 대단하고 멋지십니다~♥,행복
여행은 커녕 휴가도 못가본지 몇년 됐다,슬픔
헤헤 친목어플 만들었는데 망해서 일기장으로쓰고 있어 ㅠㅠ,슬픔
우리아이들 미래가 점점 어두워지네..ㅠㅠ,슬픔
필 결국 떠나는구나그동안 고마웠고 고생했다,행복
생활패턴 바뀌니까 미치겟네여  낮에 자고 밤새 일하고...,슬픔
순시리한테 충성 맹세? 애도 똥물이구만,혐오
이제 오바마의 시대는 간건가....,슬픔
내가 자주 사모님한테 말해서 맨날맨날 혼난다더닝....,공포
누구인지 모르지만 북한도 아니고 자력갱생 했네.,놀람
이거 치료 방법없을까요...,공포
2월중 취업하려하는데 너무 고민이 되서 글 올립니다ㅠㅠ,슬픔
김대중 노무현 이 두 놈 때문에 c8,분노
자격증을 따보려고하는데 막막해서 글을씁니다,공포
나의 볼에 찐~하게 ㅎㅎ,행복
부대에서 사진을 찍었는데 전역 전에 간부한테 걸리는 바람에전부 삭제 당했습니다.,슬픔
아이가 좀 크면 일을 해야하는데유치원교사보단 간호조무사가 나을 것 같기도하고 ..,공포
영입했고 내일쯤 발표할걸~~~~,중립
그래서 배터리 만든 중국회사 탓으로 다 떠넘기네 ㄷㄷ,분노
첫째는 25개월이에요요즘 첫째때문에 고민이많은데요,슬픔
위증죄 삼대를 공직에 못올리고 연좌제를 실시하시오,분노
아니 너네는 집도 안사고 뭐했냐,놀람
사과??일본이 사과받을 일인가??,공포
최순실이 헤쳐먹은 돈이면 멕시코장벽 완성ㄷㄷ,놀람
그동안 많은일이있었고 여태잘해왔어,행복
나라가 시끄러운 틈을 타 너도나도 이익 취하려는 집단 뿐이네,분노
음주 과속안했고 잘 달리고 있었으면 끼어들어서 사고유발한 흰 차가 제일 잘못한거지,중립
돌아올 거라 믿고 있었음 잘못한 게 없으니까,중립
혼이 비정상인년이 나라를 망치고 있으니 하루라도 빨리 끌어내리자 나쁜년,혐오
매월 핸드폰 소액결재 50만원 이상합니다,공포
지긋지긋하다 문제 안되는걸로 문제제기하면 본인그룹 욕먹는것도 모르고 으휴 ㅉㅉ,분노
모여?반뻐꺼였어? 헤이야치 스타일이네,놀람
찔끔거리다 요실금 올라,공포
한) 늬들이나 우리나ㅋㅋㅋㅋㅋㅋ,중립
나라를 팔아먹다니..,놀람
이시영이 얼마나인기가 많은데 난쟁이랑 만나겠어욬ㅋㅋㄱ,혐오
국민들은 죽창들고 탐관오리들을 끝장내자.,혐오
이제는 광고까지 챙겨봐야겠구나,중립
잘가요 개파니 이젠 보내줄게요~~,혐오
1만명 선정하기도 힘들겠다 ㄷㄷㄷ,놀람
항상 고마워요,행복
이제부터 검찰을 똥찰이라고 부르겠다,분노
이대로 계속 가다간 다음 차례는 사람이 될 수도,공포
볼때마다 류아란 닮앗다,놀람
약품 도매상 일하시는 선배님들 도움좀 주세요ㅜ,공포
내란음모죄로 처단합시다,혐오
그냥너무힘들어서 글올려요..,슬픔
밀양은 사방이 산이라 폭우가내리면 사방에서 토사가 공항을 덮쳐버릴것같다,공포
혼자가 편하긴 하지만 외롭기도 하다.,슬픔
천사는 마음이 아팠어요.,슬픔
월레이런가여?;;,공포
축하해요♥♥♥♥♥♥,행복
정말 스트레스입니다,슬픔
마티즈 광고인줄알았네;;,공포
무기직역이다!!뻔뻔함이 하늘을찌르네!!,분노
태연누나 이대로 가면 안티 쭉쭉 늘텐데;,공포
매진 임박~~매진입니다 당신인생도 매진 무기징역,혐오
뿌듯한 기분은 뭐지?,놀람
힘들게해서.많이 힘들었지..,슬픔
벌써 몇번째인데..,분노
어떤게 더 괜찮은건지...,공포
이렇게 나마 여쭤봅니다 ㅠㅠ,슬픔
니들 언젠간사지가찢어지는고통느낄테니까,놀람
주지훈 이준기 강동원 이중에 답이 있는듯,중립
야 아무리 그래도 자발적으로 해야지,놀람
아니면 안보고 취업을 하는 경우도 많나요??,놀람
나는 항상 버림 받는 존재,슬픔
대우조선에 지원할돈 여기에 투자해봐라무능한 대통령아,혐오
식비 교통비 이런거 빼고 10만원으로 한달 살 수 있나여?,공포
히로히토의 막내동생 할아버지 왕자가 있었다니...,놀람
정말 도움 많이 되었어요.,행복
박근혜 대통령 당선도 조작인듯,혐오
사실 가끔씩 생각나서 피가 거꾸로 솟는 듯한 느낌에 밥상을 집어던지고 싶을때가많지만..,분노
순실이라고 ????,놀람
"삼성의 올시즌 박석민,나바로 빠졌었음",중립
막대한 국가예산으로 국민들 탄압하는 개정원 해체하라,혐오
나라에서 세금으로 충당해줫다간 눈깔판다.,분노
전반에 두 골 넣고 후반에 두 골 역습으로 먹혀서 클롭 표정 썩을듯,중립
악질이네 악질이야....,분노
이게 그 요즘 유행하는 파국이란건가ㅎㅎㅎ,슬픔
20억 말고기 먹고시퍼 삼성에게 부탁하면 먹여주려나?,혐오
근데 내 과실이아닌데도 증명할 방법도 없고..,놀람
백주부님 덕분에 요리가 쉬워지고 맛있어졌어요,행복
이정도로 끝나서 다행이지만 앞으로가 문제 아닙니까.,공포
올해가 왜 병신년인지 이제 이해가간다,혐오
저 차 산 사람들...심심한 위로를 표해요...,슬픔
일본은 항상 먼가 먼저 이루지만 한국과 중국에 항상 뺏겨서..ㅋ초기에 즐겨라~ㅋ나중에는 다털릴테니까,행복
이렇게 되면... 누군가..... sbs에..... 죽을 때까지 못 나오는 거 아님? ㅋㅋ,공포
제발 조언좀 해주세요,공포
이러다가 우즈벡전 선발 나오는거 아냐?,공포
G5 유저들 교환이나 해줘라 개...새들아,분노
여기다 댓글 쓰지들 마시고 전화 항의 하세요.,분노
저희 담임선생님이신데 운명인가봐요,행복
결혼식 가야되나 말아야되나 정말 고민이 되네요......,공포
이게 제 일상을 너무많이 차지해서 미치겠어요,슬픔
주부로써 요리의 젬뱅인 저를 요리의 신세계로 이끌어주신 백주부님 제게는 신입니다,행복
이쁘니까 봐주자 최순실 사건에 총력을 다해야...,분노
여자도 애국심이 있음? 여자도 개돼지구나.. 여자도 애국심이라는 마음이 있냐고 어떻게 여자가?,혐오
난 이렇게 힘든데 새로운사람이랑 히히덕 거리고 있을생각하니속이 뒤집어지네요,분노
나라가 도박ㆍ사기질 안하는 넘들이 없어 ?,혐오
월 300받다 나라망하면 이민간다고?,공포
흡연충 아웃 ㅋㅋㅋ,분노
정말 잘했다!!! 댓글 처음 달아본다.,행복
와 진짜 대박이다..,놀람
계속 빌빌거리는 사대외교를 펴지 않았을까?,공포
"이게 첫 승부조작 건도 아니고, 재발인데, ""다음에 책임"" 말장난에 넘어간다는게 신기할 따름이다 레알",혐오
오늘 추석이라 물류18박 스 ㅠ,슬픔
친환경 재질로 바껴서 맥주 값이 오른다면 난 올라도 사먹을란다. 사람이 미안해 얘들아 ~,슬픔
시리아는 앞으로 4점 따는걸로,중립
잇힝. 출근하기 시룡 ㅠㅇㅠ,슬픔
여기서 뻘짓하는 애 글 조심해라,공포
조아조아 아주 조아요. 탄력받은듯!,행복
가지가지로 한다. 아주,분노
밟을땐 확실히 해야 고만하게 안봅니다,중립
이세상에 차가 자율주행차만 있으면 사고가 안날거같은데요??,놀람
개는 우리의 친구라구욧 꽤~~~에에에엑,분노
와 진짜 인간이아니다,분노
헐 아바타가 실존하다니,놀람
함덕주는 약간 의외네,놀람
입만 열면 개구라....떳떳하면 검찰 조사 왜 안받냐?,분노
여성으로서 사생활이 이런거였나?,슬픔
현다이는 국민 고혈에 근거한 세금없으면 질텐데,중립
쉽고 간단하게 맛있게 요리를 할수 있게 가르쳐 줘서 감사합니다.,행복
탄핵 안 됐으면 대규모 시위에 난리 났겠다.,중립
김성원급 개그맨도 벤츠타고 다니네...;;,놀람
진주씨 계속나왔음 좋겠닺 진주씨땜에 고삐리에게 받은스트레스 풀어 넘잼있게보고있어,행복
와 우리집앞이야 ..무서워서 밤에 어디 돌아다니겟나,공포
21살이나 20살부터들어갈수있는거아니예요 ?,놀람
"니들이 사용하는 거의모든물품, 매일먹는 음식재료,그리고 니들이 눈빠지게 기다리는 택배까지도 다 경유차로 운반되고있다는건 알지?",중립
손으로 누르면..아픈데..하..미치겟네여 진짜..,슬픔
뻥피엘이 이글을 좋아합니다,중립
나 한테 오면 맨날 백원씩 주는데,중립
그냥 화장품판매직이 돈 더 많이 주고 휴무많고 ㅠㅜ,슬픔
집에서 실내바이크 자주타는데 이것땜에 그런가너무걱정되네요,공포
제작진이 시청률에 눈 뒤집혀서 쓰레기같은 짓을 했네!!,분노
진핑이 형 그냥 북한 쓸어버리고 북한 가져가세요,혐오
목성이 그래도 태양계 탱커인데,중립
퍠기해라 전액환불하고 노트7은없던거로 해라,분노
남자애로 태어났으면 좋았을걸 기싸움 눈치싸움 너무 심하다,공포
또 화내면 친구우정 깨질수도있을것갔고....,슬픔
그런말을 요즘너무많이들어서..,슬픔
외국순방 뱅기 최괴물 모르게 실어 두괴물 위아래 침맞았지머했겠어,분노
슈가보이 요즘은농담도잘하시고넘~~^^*잘해용 슈가뿅,행복
덕혜옹주 너무 슬프게 보았던 기억이 있다.,슬픔
어떤거 주의해야 하나요..?,공포
아프지마 도토 잠보 ㅠㅠ,슬픔
2월인줄 알았는데...겁나 갑작스럽..,놀람
일본에 대신 너거 마누라 줘라 자슥들아,분노
한국은 더럽다,혐오
정신상태가 진짜 궁금하다 먹고살만하니 그깟 포켓몬 잡으로 속초에 가다니 한심한 년놈들나가 디지거라,분노
까서 미안하다 태균아 타격만큼은 니가 최고구나 인정하마!!,행복
화성은안보이네요,중립
이렇게선동하는기사는패스해야됨,분노
헤어진 지 2개월인데요,슬픔
첫연애여서 정말모르겟어요ㅠ,공포
조금 온다맼ㅋㅋㅋ,행복
미야 겁나 이쁘더만,놀람
더구나 김감독님은 계약기간이 1년더 남아있다.,놀람
2주후 테스트 결과 임신입니다...,공포
어이 재용이 어째 있을만혀,중립
god 효신ㅠㅠㅠㅠㅠㅠㅠㅠ,행복
한시즌을 성공적으로 보낸것도 아니고 시즌초반 잘한다고 이런기사며 면제며 하는건 그닥 별루인듯,혐오
오전알바 누나한테 물어보니까월급 날짜 17일 자닜는데 아직도 못받았다고 하더라고요 하..,공포
세벽에 헐떡그리면 심장 마비가 기다린다??,공포
기사를 잘 쓰시네요 ㅎㅎ 구르미 본방사수~,행복
인성교육은 필요조건임.,중립
북한의 총살은 이럴때 필요하구나,놀람
이민기 멋있네.. 진정한 상남자..,행복
뭐 큰약점 잡힌거 있으신가 어이가 없네,혐오
눈이 있도 귀가 있으면 제대로 된 대답을 해라 !!!!,분노
나울고싶어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,슬픔
휴대용 폭탄하나 선물받고 600호 뺏기겠내..,혐오
김경호가 더이쁘네..,공포
그래도..여친한텐안되네;;;,중립
이불황에 수입 짭짤하겠네,슬픔
"의미 : 3·1 만세운동은 불법이고, 일본의 한국 지배는 정당하다.",분노
이번대회 우승한거 다시한번 축하해요~,행복
미안합니다...,슬픔
바로 질초음파를 하더라고여...,공포
이거 다 t맵이다 카카오네비 김기사 인수한거고 김기사 t맵 고대로 배낀거 소송거니 카카오에팔고 약간 손본게 까카오네비구만 똑같은 네비 업버전 마이너버전 가지고 기레기는 뭐하는거냐,분노
컴터로 겜하는 피돌 피순님들 부럽다.,슬픔
터너 보내고 황재균 영입하면 간단히 마물되네,혐오
우와 박보거어어어엄!!!!!,놀람
통신사에서 얼마나 쳐받으면 저런 소리를 ..,분노
꽃같은애들300명제물이맞는거야??,놀람
참 이런 비상식적인 나라에서 산다는게 참..........................,슬픔
감사합니다.^^,행복
재벌 총리가 뭘알겠냐?,혐오
국민들은 바보였습니다 할수있는게 뭘까요,중립
가식이런거 ㅣ도없고 오로지 음악성으로만 승부하는 언니들 ㅠㅠ,행복
니들떄문에...내가 오늘...,슬픔
그 애비 인성으로보아 기업이 대를잇지 못할것,혐오
세상 에서 가장 멋있다,행복
저렇게 귀한 자식도 대학 보내면 사고처서 애기 낳음,중립
와... 소름끼치게 볼거리 없겠네.. ㅠ,슬픔
만화 씨티헌터 중에 하늘을 나는 엉덩이 있는뎅.,중립
박근혜의 사드배치에 맹종한 새누리당과 동조한 더민주당은 다음 정권 집권할 자격이 없다.,혐오
과거사도 좋지만 맨날 반일/반미하다가 연합군 어떻게 할래?,슬픔
글고 원피스입어도되나요?,공포
밥을 싸와서붉닭 소스 사왔는데숫가락을 안가져 왔습니다...,슬픔
범죄와의 전쟁이 없다니 충격이다,놀람
깜짝 놀랬네 ㅋ 사진만보고 스캔들터진줄 제목 안봤으면 어쩔뻔....ㅋㅋ,놀람
알바하고왔는데 지금 머리가 띵한게 열나는거같기고하고 ㅠㅠ,슬픔
앞다리에 자극오는거라고 해서 지금 멘붕왔어요,놀람
마지막 감동이네 워 경차과시민의악수,행복
지금 있는 용돈까지 합쳐서 존나 과소비하고싶어졌음뭘 하면 좋을까요?0,공포
특검을. 믿습니다. 화이팅,행복
이효리는 ♡♡입니다.,행복
한번 탈때마다5만원씩 걷으면 찬성,중립
클레멘타인에 범접할만한 영화는 언제나 나올것인가?,중립
바로 취업이 될줄알았는데 어렵네요,슬픔
탈모오신분들은 어떻게해서 극복하고잇나여?,슬픔
부산 엘 시티사건 방송하세요,중립
저는 제 나이 또래도 없고 20대라고는 저 혼자뿐이라..,놀람
명복을 빕니다,슬픔
고령 운전자분들 운전하시는거 보면 참 불안하지요.,공포
못배운애라 그래..,혐오
일드 전업주부탐정 있음,중립
미국이랑 부칸이랑 한판 싸울것같은데 올해안에 ㅋ,중립
자랑스러워요,행복
아님 내일도이럼 병원갈까여?0,공포
내 6봉을 빨게 하고 입싸한다고 선서시킬거다,중립
경기도는비가옵니다 ㅎ,행복
책상 좁은데...계란 후라이 할것도 아닌데 무선충전기 너무 큰거 아니냐?,놀람
안지만 인간 맞나??,놀람
Day day는 진짜 노래 너무 좋음,행복
5년 현아 안티질 하던 내가 어느순간에 빠져서 가장후회되는게 그동안 내가 알지도 못하고 싸지른 악플들 현아가봤을까하는거진심 미안하고 뭘하던 응원함,슬픔
항상 좋은 요리법들을 쉽게 설명하셔서..,행복
박효신 콘서트 같았어 멋있도라...,행복
좌좀들 선동하는거보소....,놀람
기자 사진 범인 사진인줄;;;;,놀람
그거도 2시간 정도 올렸다가 내렸어..,슬픔
쿠테타가 의외로 성공률이 높다 우리나라도 100%아닌가요?,놀람
방금 중국 바이두 가서 보니까 중국도 구르미가 평점 7.5로 평점 6.2인 달연 압도중이구만 뭔 소린지?,중립
병신 짱개에 돌대가리 대통령의 조합이면 이렇게 되는 거다,분노
오늘 하루도 수고했어~,행복
그래서 이대로 그냥 또 잃어버리는건가 두렵다,공포
전 여자친구에게 큰 상처를 받았고.,슬픔
재석이형 정말형 팬이에요~~~~,행복
집에서 구하기 쉬운 재료로 간단히 만들수 있는 음식에 정말 감명받았습니다.,행복
애들다 정장 맞추러 다니는데..,슬픔
4~5%뒤엔4000만국민이 있다,놀람
저나이에 광화문 나와서 촛불드는 사람도 있는데.,놀람
입마추기 다했네,분노
어제 자기전만해도 18등이였는데 지금 4등이나 올랐어요 !,행복
연초부터 누구하나 직위해제하게 생겼네.,공포
이제 IS는 듣보잡이라는 건가...,중립
비비안페레이라머임?,놀람
10m 안에서 날아오는 계란마사지 조심하세요 최순실씨 ㅜㅜ,혐오
묵묵히 자기의 소명과 사명을 다하신민주화의 성지 경찰관님들 존경합니다,행복
식비 가능?,놀람
아마도 우리가 저랬으면 빨간줄 쫙~~~^^,중립
으으.. 이게 자칭 깨어있는 신여성들의 모습이란말입nika?? ㅋㅋㅋㅋㅋㅋ너무나도 역겹네요,혐오
와 이제 삔뜯을려고 온갖 다 떠돌아다니고 있구나,놀람
이 관계가 그저 원칙적인 입장 정리로 끝날지 예외 조항의 수용으로 끝날지는 봐야할 문제,중립
거리도 멀어서 쉽게 갈 용기도 안나고.....,공포
문정아 중국어 강의라고 아시는지강의를 무료로 듣게 해준다고?,놀람
나라 말아먹은 미친 순실이년과 어린 저 딸 년이 미쳐서 가지가지한다!!!,분노
어이가없더군요..,공포
쟤가 왜 영웅.의인 이런거냐?,놀람
제설복장에 눈삽 대빗 들고 중대앞으로 집합하라고 하십니다,중립
맥콜 보고있나?ㅋㅋㅋ,중립
갤럭시노트7 폭발로 3만원 씩 지원나오는거 생명수당이라면서요? ㅋㅋㅋㅋㅋ,행복
동공 지진...,놀람
이사람 티비안나오면 무당될것같애,중립
잘생긴 모태솔로는 웁니다,슬픔
그니ㅏ 누가 이런걸 돈주고사냐 ㅋㅋㅋㅋㅋㅋ,놀람
특검팀에 찬사를보냅시다,행복
여기서 쉴드치는 빠순이들은 나중에 남편이 노래방에서 여자도우미 불러서 놀아도 용서해줄 여자들일세...,분노
지난주만 해도 여름이었는디 ㅋㅋㅋㅋ,놀람
염병들을 한다 진짜,분노
금세 사랑이 식었네...우째...우리가 그정도밖에 안 됐어?,공포
지구상 가장 잔인한 동물=인간.,혐오
어른인 내가 미안하다 ㅠㅠㅠ,슬픔
누구맘대로 4월 퇴진이냐!!!,분노
야스꾸니 신사에서 단체숙박하고 돌아올 땐 불질러라,분노
그리고 여자분들은 어떤 기준으로 번호 알려줄건가요 ?,놀람
온국민이 억울하다 얘!!,분노
요버년도 안해면 다음주 월요일 모든직장 및 하교 휴교 합시다,중립
폭염주의보만 내리지말고 공휴일 좀 내라고.,분노
어떻게 생겼나해서 봤더니 치아뿌리가 존나크더라구요.,놀람
이런 쓰레기들에게 경어를 쓰는건 또뭐야,혐오
이새키들 거짓말하네,분노
나도의경나왓지만 저런모습보기좋네요,행복
제가 어떻게 대처해야 할까요,공포
기분 나쁘지는 않지만 사실 지인 소개로 들어간 업체로여려군데 면접 제의 거절한거라 당혹스럽네요.,공포
예송논쟁으로 피터지게 싸운 선비들의 후손답다. 대체 이게 무슨 의미가 있는 짓들이냐?,혐오
득표율 3배가 아니라 2배 아닌가??????,놀람
피곤하다 한 날은 한번에 20시간도 자고요,공포
괜찮은 회사인지 직감이안가요...,공포
최순실도. 김성근의ㅜ지시를 받고 움직인다,중립
그래서 의심부터 하게 되네요,공포
저 흑형 진짜 야구선수아니면 술퍼마시고 놀게생겼네 ㅎ,놀람
보고하면 이해는 한다고 하나요?,중립
마지막곡은 이왕이면 다같이 불렀다면 좋았을텐데 아쉽다,슬픔
고마워 지금까지 버텨줘서고맙고 앞으로도 승승장구하자 사랑해♡,행복
뒤에 정지등 방향등 좀 고장났으면 고치고 다녀라 제발...,혐오
지역감정 운운하면서 나가는 놈ㅋㅋ 진짜 노답,혐오
캐머런과 영국이 글로벌 빅똥을 선사하고 먹튀를 하는구나,혐오
스마트폰 꼭 봐야 편하다 왜냐 스마트폰은 내 친구니까 스마트폰 하트,행복
이렇게 내 일상은 사소한거까지 너의 흔적으로 가득하다...,슬픔
퇴물탄 무슨 세팍타크로 선수인줄 알았네 ㅋㅋㅋㅋ,놀람
전생의 어린 왕의 간신은비서일 듯...,혐오
그럼 내일을위해 고고싱!! ㅋ,행복
멋지다 추진력~~!!,행복
너무 축하드려요~,행복
국지니 형 기사에는 악플달지마라,혐오
그 사람 괜찮을까요..?,공포
유명짤하나 탄생했네 ㅋㅋㅋ,행복
박통:경제 구조 개혁을 하려면 여러기업들이 힘들모아서 한뜻으로 국민을 생각하면서 서로가 열심히...이런 뜬구름 소리만,혐오
국민여러분 국민의 이름으로 조의연판사 탄핵소추를 100만서명받아서 국회에 제출합시다,분노
나같아도 저만큼돈있으면안받는다ㅋㅋ,혐오
이정도면 싸이코패스 인가?,놀람
구라청.. 하다못해 핑계까지..,분노
편안한 집밥을 너무 너무 고맙네요,행복
어떻게 범죄자가 더 당당할 수가 있지?,분노
헐~~ 김종민 닮았다 ㄷㄷ,놀람
연아양 감사했어여 ㅜㅜ,행복
만남 하실 오빠들만 카톡 c888 추가요,중립
담에는 더 많이 글올릴께요....,슬픔
아씨;;; 불안하네.. 일주일전에 갤놋7 샀는데.. 사고 진짜 좋아라 했는데 ㅠㅠ,공포
얘 누구? 왠 듣보잡??,놀람
너와 헤어진지 3개월이 지나가네.,놀람
이런 인간이 설쳐서 다음에 투표 꼭해야겠다,중립
때놈들 모시려고 아주 온갖 노력은 다하는구나.삼계탕으로 보신시켰으니 여자도 한명씩 붙여주지 그러냐?ㅋㅋㅋㅋㅋ 아주 제2의 기생관광인가?,혐오
"2016년에 포텐 터진 오재일,김재환,박건우 선수가 성적이 유지 되느냐가 중요할듯.",중립
고민 되네요.....,공포
근데 그거 아니면 너무 좋아요,행복
형돈오빠~~ 올만에 놀러왔어여새벽 두시가 넘었는데..ㅋㅋ,행복
어떻게 해야할까요 ?,공포
그래서 보내줘야겠는데 멀 보낼지 생각이 안나서 고민0,공포
기자 새끼들도 쓸기사가 없으니 소설 쓰고 있어.,분노
기본적으로 개도국이 많고 축구의 열정이 크지 않은 아시아대륙의 수준은 사실상 하향 평준화.,중립
"다가오는 금요일 토요일 , 손님 되게 많이오겟네여..",공포
ㄹ혜와 새누리 찍은 사람들 정말 반성해야합니다,혐오
헬조선 땅덩이리도 좁은대 멸망해버려랏,분노
"200백원이 모자르니, 그 가격이지..",중립
아역배우 성장의좋은예,중립
암행어사 출두야~~~,중립
자신이 일궈내서 얻어낸 것도 아닌 주제에 뻔뻔스럽게 대가를 더 요구하는 전형적인 조선인의 모습,혐오
좋은 음악 만들어주고 불러줘서 고마워 ♥,행복
교육부에도 쓰레기가 있구나,분노
최순실이 배출한 우리나라도 있는데 뭘 쪽팔려서. .,슬픔
인원수 구라치네ㅋㅋㅋㅋ박근혜퇴진은 맞는데 부풀리지는 말자,중립
한놈만 패봐 나머진 진실을 말한다,분노
유병언도 죽은거맞냐?,놀람
진짜개빡친다 처음프로야구팬했는데,분노
김연경 화이팅!!!,행복
사고친 덕에 업무 제대로 알게된것 같은데..,공포
해준 경기력인거 같아요...,행복
아니 장현수는 그렇다고 치고 홍정호 뭔데?!,놀람
배신자들.,분노
너무 마음이 아픕니다. 고인의 명복을 빕니다.의로운 분들이 대우받고 존경받는 세상이 되기를...,슬픔
주변에서 의경은 군인으로 취급도 안한다고하던데정말인가요?,놀람
와~~뻔뻔함의 극치를보여주는구나!!!,분노
사실 제가 좀 못생겨서 예전에 소개팅때도 많이퇴짜 먹은편인데이제 좀 벗어나고 싶어요 ㅜㅜ,슬픔
김상혁도 운주운전하고 안했다고 구라쳤다가 10년넘게 공중파 못나오고 있는데 노홍철은 잘만 나오고..키야~~,혐오
예전에는 알지 못 했지만 투피엠분들 다들 인성도 좋으시고 사람이 참 괜찮은 사람들인걸 최근들어 알았어요,행복
남자친구한테 미안해서 ㅠㅠㅠㅠ,슬픔
잘 챙겨주고기다려주고할수있는데~,행복
이번달로 딱 2년지나 토스/토익이 다 끝났네요토익이야 시원하게 다시 봐도 될것 같은데토스가 좀 걱정이네요 ㅠ,공포
누가 봐도 향후 10년안에 전쟁일어난다,공포
언제적 장동건이냐...,중립
여기가 촌이라서 6명밖에 없어요;;,슬픔
국민이 모여 나라를 이루는건데 국민이 미개하니 나라가 이모양 이꼴 아니겠나 -몽Junior-,혐오
뭐든지 있을때 소중함을 알고 감사해하며 살자!!!!,행복
우리나라 공무원이 거기가 있나보네,중립
아니 어째서 이게 시청률꼴찌야?,놀람
인공지능이라면서 한국 드라마는 분석도 안하고 ㅋ 성급한 결론 입니다. ㅋ,혐오
이 분 스릴러작가로는 원탑이 아닐까 싶음.,중립
북한주민들이..이글들을 싫어합니다,혐오
사업홍보차 나오시는 거죠,중립
기분 전환하려고 예능봐도 뉴스생각뿐,중립
해커 삼성으로 오려나???,중립
무턱대고 말하기도 뭐하고...,공포
정자에 왠 부스터????,놀람
게임강국 한국이 성장하게 이딴글 쓰지말고 제발 냅둬라,혐오
글구 스텝 여러분이 뒤에서 수고해주신 덕분인듯,행복
더이상 사기치지말라~처넣자 감빵에,분노
스마트폰 충들 다 밀어버려야된다 진심 죽이고싶음,분노
개구라청 왜케 변해 니기미 풀린다해서 약속 잡았는디,분노
세계일보.....웬일이니....,공포
유재석 오라버니 16일 밤 해피투게더 보는 시간에지난 주 게스트도 나오시고 두번째 게스트 나오시는 것도 봤어요,행복
기술로 승부하기에 중국은 아직 몇년은 더 남은듯,중립
꼼수는 무슨 꼼수..당연한거지,혐오
인생막장에 최후로 선택하는 인간말종들에 뭘 바래?,분노
지금 시국을 틈타서 졸속 처리한건가ㅡㅡ 무죄라니...,분노
창피스럽다.,슬픔
재미로 살생하는 건 이제 그만하자,공포
아이 큰일났네,놀람
인페르노가 왜 저기 있지,놀람
무지라고 하기엔 너무 타이밍이 절묘한듯,놀람
구속은 놀라운데 5이닝 동안 90개 가까이 던졌네..,놀람
저는 김연아 선수를 존경하는 고2학생입니다.,행복
사람이 탈수나 있을라나..,중립
불편한 진실 이군...,중립
폭스바겐같은 삼류기업이랑은 as나 서비스의 질이 틀리구먼 허허..,행복
덜떨어진것들 그돈 우리피같은세금아니냐 다잘라라 천불나네,분노
요즘 날씨에서 미세먼지 얘기는 안한기로 약속했나요??,중립
대왕카스테라는 어떠캐??,놀람
방탈출 죄송합니다.,슬픔
하나하나 다말하면 끝도없습니다.,분노
그냥 중대본 주변의 돌발상황이라고 하면넘어가줘야하나???,놀람
옷이나 가죽시계 이런거 사줘봤자 별론가요?,공포
지옥을 보았다,혐오
꽃보다 남자때에도 많은 여자연예인이 나왔지만 이시영이 젤 예뻤어요 ~^^,행복
유재석 오라버니 tv 예능 프로그램들 방영이 오래 하시니 좋네요,행복
나쁘다 진짜날씨도 더운데 ..,혐오
고맙습니다 감사합니다,행복
보직파괴 3년 되었다.,슬픔
괘씸한 놈들.,분노
오늘은 또 얼마나 맛있게 만들어 주실지 벌써부터 기대하고 있습니다,행복
가정에서 쉽게 구할 수 있는 재료로 특별한 맛을 낼 수 있게  도와주시는 백주부님 늘 감사해요.,행복
2월달아니였음...?? 축하드려요!!,놀람
중국이 무섭게 성장하는 데는 저런 올곧은 인물도 있는 거겠죠.,중립
전 아닌데 남자친구가 그렇게될까봐 무서워요,공포
쓰렉이같은 상업영화 볼바에 위대한캣츠비를 한번더 읽겟다 ㅋ,혐오
법 미꾸라지 오늘 우리 국민들은 눈뜨고 지켜 볼것이네,혐오
살려줘요,공포
하루이틀이가 일터지면 뉴스내고 이슈화시키고 ㅉ,분노
반땅은해야지 .. .,중립
이쁘면 다 용서된다,중립
강제로 끌려가신 할머님들을 도대체언제까지 욕보이실껀가요?,분노
근데 왜 사진속 헬기는 그냥 촬영용 헬기냐;,중립
정말 많이 울었을겁니다.,슬픔
폭탄으로승부하려한다;;;,공포
이슬람계는 절대 절대 받지 말아야..,공포
다른사라 회사랑 거래하면서 이익을 주느니 우리끼리 뭉쳐서 선의의 경쟁 멋지다,행복
당연히 오바마 대통령께서는 백인을 대표하시죠,중립
근데 stay with me 그 앞부분은 진짜 비슷하던데,중립
박근혜랑 공모없었으면 니가 다 독박이야 이녀나ㅋㅋㅋ,분노
댓글보니 충격적이네요.,놀람
터키 이놈들 미개하네,분노
애플이 인도인을 미개인으로 취부하는데 어느 누가 좋다고 승인해 주겠나!,분노
내자동로터리에서 경찰들 미는 시위대들 정체가 뭐냐,중립
멋있다 진짜,행복
이건 우리가 할 말 아닌가?,놀람
지금 볼만한 영화가 없긴함..타이밍 굿,행복
넥센 화이팅,행복
대통령을 했다는 작자가 국가기관인 검찰이 맞다는걸 부정하는 개꼬라지,혐오
연애기간이 서서히 길어지고 있는데 결혼 못할까봐 내가 불안함,공포
